Marca temporal;Género;Edad;Grado de estudios;Distrito en el que vives;Trabajas;Consumes drogas;Consumes licor;Llegas puntual a las  clases;Perteneces a alguna pandilla;Qué tan responsable se considera;Considera posible terminar el año escolar;Cómo te consideras en los estudios;Cómo te consideras para estos cursos: Matemáticas, Física, Religión y Lenguaje;Te gusta estudiar;Estudian en un buen ambiente físico;Te gusta estudiar en grupo;Cuántas horas al día son dedicada al estudio;Si te dieran a elegir entre estudiar o no estudiar. ¿Estudiarías?;Cuál de las siguientes redes sociales usas para buscar información para tus tareas;Cuántos integrantes hay en su grupo familiar;Cuántos trabajan en su familia;Cuántos de su familia estudian;Cuántos de sus familiares reciben pensión del Estado;Dependes de tus padres;Dependes de alguna persona;Nivel de educación de su padre;Nivel de educación de su madre;De qué manera el stress influye en su vida escolar;Tiene empatía hacia sus compañeros;Cuando obtienes malas notas. Te sientes;Que cantidad de amigos te gustaría tener;Cantidad de horas que trabaja a la semana;Ingreso familiar aproximado mensualmente;Sus estudios iniciales en que establecimiento lo realizó;Establecimiento en el que estudia es;Promedio ponderado durante el año
10/24/2022 13:11:43;2;16;1;1;2;2;2;3;2;2;1;1;1;1;1;1;6;1;Google, Facebook, Twitter, Instagram, Wasap, Tiktok;3;2;2;2;1;1;4;3;3;5;4;1;0;3;1;Público;15
10/24/2022 13:13:22;1;15;2;1;2;2;2;1;2;2;1;1;1;1;1;1;4;1;Google, Facebook, Twitter, Instagram, Wasap, Tiktok;4;3;3;1;1;1;4;4;3;5;4;1;0;4;2;Público;16
10/24/2022 13:15:20;2;16;1;1;2;2;2;3;2;1;1;1;1;1;1;1;4;1;Google, Facebook, Twitter, Instagram;4;2;2;2;1;1;4;3;2;5;4;1;0;2;2;Público;15
10/24/2022 13:43:54;1;15;2;1;2;2;2;3;2;2;1;1;1;1;1;1;5;1;Google, Facebook, Instagram;5;2;3;2;1;1;4;3;3;2;2;2;0;3;2;Público;13
10/24/2022 13:46:30;2;15;2;1;2;2;2;3;2;3;3;3;4;2;2;2;1;2;Google, Wasap;5;1;3;0;2;3;2;1;4;5;4;4;0;1;1;Público;11
10/24/2022 13:48:45;1;15;2;1;2;2;2;3;2;3;3;3;4;1;2;2;0;2;Google, Twitter;3;2;1;0;1;1;2;1;3;5;4;2;0;1;1;Público;10
10/24/2022 13:51:30;1;16;1;1;2;2;2;3;2;1;1;3;3;1;1;1;2;1;Google, Instagram, Wasap;4;2;2;0;1;1;3;2;3;2;1;3;0;2;1;Público;13
10/24/2022 13:53:05;1;17;1;1;2;2;2;1;2;1;1;1;2;1;1;2;6;1;Google, Facebook, Instagram, Wasap;5;3;3;3;1;1;4;4;3;1;4;3;0;4;1;Público;16
10/24/2022 13:55:02;1;16;1;1;1;2;1;3;1;3;3;3;3;1;2;2;1;1;Google, Wasap;4;2;2;0;1;1;2;1;3;2;4;1;1;1;1;Público;10
10/24/2022 14:24:18;2;16;1;1;2;2;2;3;2;3;3;3;3;1;2;3;1;1;Google, Wasap;4;2;2;1;1;1;3;1;3;2;1;3;0;2;1;Público;12
10/24/2022 14:26:22;2;15;2;1;1;2;2;2;2;3;3;3;5;2;2;2;0;2;Instagram, Wasap;8;1;4;0;1;1;2;1;3;4;1;2;1;1;1;Público;11
10/24/2022 14:27:53;1;15;2;1;2;2;2;3;2;3;3;3;5;2;2;2;0;2;Google, Wasap, Tiktok;5;1;3;0;2;3;1;1;2;4;4;2;0;1;1;Público;10
10/24/2022 14:29:39;1;16;1;1;1;2;2;3;2;3;3;3;3;1;2;2;2;1;Google, Wasap;4;2;2;1;1;1;3;2;4;5;1;2;1;2;2;Público;12
10/24/2022 14:31:06;1;16;1;1;2;2;2;1;1;1;1;2;2;1;1;1;2;1;Google, Facebook, Twitter, Wasap;4;1;2;0;1;1;4;3;3;2;4;3;0;3;2;Público;12
10/24/2022 14:32:41;2;15;2;1;2;2;2;1;2;1;3;2;3;1;1;2;2;1;Google, Instagram, Wasap, Tiktok;3;2;2;1;1;1;3;4;3;1;2;2;0;3;1;Público;13
10/24/2022 14:34:24;2;16;1;1;2;2;2;2;2;4;3;3;4;2;2;2;1;2;Google, Facebook, Instagram, Wasap, Tiktok;8;1;5;0;1;1;2;2;3;5;2;3;0;1;1;Público;10
10/24/2022 14:36:24;1;15;2;1;2;2;2;3;2;3;2;3;3;1;1;1;1;1;Google, Wasap;5;2;3;2;1;1;3;3;3;4;1;3;0;2;1;Público;13
10/24/2022 14:37:53;1;16;2;1;2;2;2;2;2;3;3;4;5;1;1;1;1;1;Facebook, Twitter, Wasap, Tiktok;4;2;2;2;1;1;3;3;3;2;1;2;0;2;1;Público;11
10/24/2022 14:39:36;1;15;2;1;2;2;2;3;2;3;2;3;3;1;1;1;1;1;Google, Wasap;4;2;2;1;1;1;3;4;3;2;1;4;0;3;1;Público;12
10/24/2022 14:41:26;1;15;2;1;2;2;2;3;2;1;1;2;3;1;1;2;2;1;Google, Wasap;3;2;1;2;1;1;3;3;2;1;1;2;0;2;1;Público;12
10/24/2022 15:03:40;2;16;2;1;2;2;2;3;2;2;3;3;3;1;1;2;7;1;Google;4;2;1;0;1;1;2;2;2;2;1;2;1;1;1;Público;15
10/24/2022 15:07:13;1;17;2;1;2;2;1;3;2;2;3;3;3;1;2;2;7;2;Google;3;1;2;0;1;1;2;2;5;4;1;1;1;1;1;Público;13
10/24/2022 15:10:45;1;16;2;1;2;1;1;3;2;3;3;3;2;2;1;3;6;2;Google, Facebook;6;2;2;0;1;1;2;2;2;1;1;1;1;1;1;Público;13
10/24/2022 15:56:48;2;15;2;1;2;2;2;3;2;3;3;3;5;2;2;2;1;1;Facebook, Wasap, Tiktok;4;2;2;1;1;1;4;3;3;4;4;3;0;3;1;Público;12
10/24/2022 15:58:36;1;15;2;1;2;2;2;3;2;3;2;3;5;2;2;2;2;1;Google, Facebook, Twitter, Instagram, Wasap, Tiktok;6;3;3;2;1;2;3;3;4;4;2;3;0;2;1;Público;11
10/24/2022 16:00:27;1;15;2;1;1;2;2;3;2;1;1;2;3;1;2;1;3;1;Google, Facebook, Twitter, Instagram;5;3;3;2;1;1;3;2;3;2;1;3;1;2;1;Público;13
10/24/2022 16:01:55;1;15;2;1;2;2;2;3;2;1;1;3;3;1;1;2;3;1;Google, Facebook, Twitter, Instagram;4;3;1;2;1;2;4;3;3;1;4;1;0;3;1;Público;12
10/24/2022 16:04:00;2;16;1;1;2;2;2;3;2;3;1;3;3;1;1;1;5;1;Google, Instagram, Wasap, Tiktok;3;2;1;0;1;1;3;2;2;1;1;1;0;2;1;Público;13
10/24/2022 16:05:40;2;15;2;1;2;2;2;3;2;3;3;3;3;2;2;2;2;1;Google, Wasap, Tiktok;4;2;2;2;1;1;3;2;3;2;1;3;0;1;1;Público;12
10/24/2022 16:10:55;1;16;1;1;2;2;2;1;2;1;1;2;3;1;1;2;2;1;Facebook, Wasap;4;1;1;1;1;1;3;2;3;1;1;3;0;1;1;Público;14
10/24/2022 16:14:02;2;14;2;1;2;2;2;3;2;1;1;3;3;1;1;1;5;1;Google, Instagram, Wasap, Tiktok;4;3;2;2;1;1;3;2;3;3;1;3;0;2;1;Público;13
10/24/2022 16:15:43;1;16;1;1;1;2;2;3;2;1;1;2;2;1;1;1;4;1;Google, Facebook, Twitter, Wasap, Tiktok;3;3;2;1;1;1;3;3;3;3;4;3;1;2;1;Público;15
10/24/2022 16:17:33;2;15;2;1;1;2;2;3;2;1;1;2;2;1;1;2;3;1;Google, Facebook, Twitter, Instagram, Wasap, Tiktok;5;3;3;2;1;1;4;3;2;1;2;3;1;2;1;Público;15
10/24/2022 16:19:17;2;15;2;1;1;2;2;3;2;3;1;2;3;1;1;1;3;1;Google, Wasap, Tiktok;4;3;2;1;1;1;4;2;3;2;1;3;1;2;1;Público;15
10/24/2022 16:35:23;2;15;2;1;2;2;1;3;2;2;1;2;3;1;1;3;2;1;Google;4;2;2;0;1;1;3;2;5;2;1;2;0;2;2;Público;14
10/24/2022 17:07:23;1;16;1;1;2;1;2;1;1;1;1;2;3;2;1;1;6;1;Google;6;2;5;1;1;1;3;2;3;5;3;3;1;4;1;Público;17
10/24/2022 18:47:36;1;16;1;1;1;2;2;1;2;1;1;2;2;1;1;1;3;1;Google, Wasap, Tiktok;5;4;2;1;1;1;3;2;3;1;1;3;1;2;1;Público;14
10/24/2022 18:54:37;2;17;1;1;2;2;1;3;2;3;3;3;4;2;2;3;1;2;Facebook;3;1;1;0;1;3;2;1;5;4;4;3;0;1;1;Público;12
10/25/2022 6:28:00;2;16;1;1;2;2;2;1;2;1;1;2;3;1;1;1;2;1;Google, Facebook, Instagram, Wasap;5;3;3;1;1;2;3;2;3;4;2;3;0;2;1;Público;13
10/25/2022 9:07:30;1;17;1;1;2;2;2;1;2;1;1;2;2;1;1;1;3;1;Google, Facebook, Twitter, Instagram, Wasap;5;3;3;2;1;1;4;4;3;3;4;2;0;3;1;Público;15
